	(1)	(2)	(3)	(4)
621.country_round		-0.027		
		(0.024)		
622.country_round		-0.012		
		(0.022)		
625.country_round		0.082***		
		(0.029)		
626.country_round		0.176***		
		(0.029)		
627.country_round		-0.075***		
		(0.026)		
628.country_round		0.011		
		(0.033)		
631.country_round		-0.072***		
		(0.026)		
634.country_round		-0.061**		
		(0.026)		
637.country_round		0.036*		
		(0.019)		
638.country_round		0.009		
		(0.034)		
639.country_round		0.044		
		(0.034)		
714.country_round		0.117***		
		(0.032)		
715.country_round		-0.016		
		(0.025)		
716.country_round		0.037*		
		(0.022)		
717.country_round		-0.022		
		(0.021)		
719.country_round		-0.031		
		(0.024)		
721.country_round		-0.020		
		(0.025)		
722.country_round		0.001		
		(0.022)		
725.country_round		0.063**		
		(0.027)		
726.country_round		0.001		
		(0.028)		
727.country_round		-0.066***		
		(0.025)		
728.country_round		0.105***		
		(0.038)		
731.country_round		-0.042		
		(0.026)		
734.country_round		-0.049*		
		(0.026)		
737.country_round		0.050**		
		(0.021)		
738.country_round		0.024		
		(0.033)		
739.country_round		0.046		
		(0.033)		
814.country_round		0.140***		
		(0.036)		
815.country_round		-0.005		
		(0.027)		
816.country_round		0.042*		
		(0.023)		
817.country_round		-0.018		
		(0.022)		
819.country_round		-0.020		
		(0.027)		
822.country_round		0.002		
		(0.023)		
825.country_round		0.188***		
		(0.042)		
826.country_round		0.172***		
		(0.032)		
827.country_round		-0.064**		
		(0.027)		
828.country_round		0.110***		
		(0.038)		
831.country_round		0.072**		
		(0.029)		
834.country_round		-0.006		
		(0.025)		
837.country_round		0.075***		
		(0.024)		
838.country_round		0.024		
		(0.032)		
839.country_round		0.047		
		(0.032)		
cvg_region_pot			-0.185	1.789**
			(0.393)	(0.729)
cvg_region_pot_dist				-2.975**
				(1.459)
				
Observations	113,243	113,243	111,570	111,570
obs	113243	113243	111570	111570
boot lis_region_tv	0.00100	0.582		
boot lis_region_tv_dist	0	0.0110		
SW lis_region_tv		13.98		
SW lis_region_tv_dist		8.624		
boot cvg_region_pot			0.629	0.00100
boot cvg_region_pot_dist				0.00901
